cell_i,cell_j,sample,t_s,x_mm,y_mm,z_mm,Bx_uT,By_uT,Bz_uT,Babs_uT,Bbx_uT,Bby_uT,Bbz_uT,ax_g,ay_g,az_g,tilt_deg,gain_idx,qmc
0,0,1,0.005,-40.000,40.000,0.000,64.9226,13.6754,7.9840,66.8259,54.9767,-36.2767,-11.2817,-1.66911,-2.70696,-2.14347,123.980,0,1
0,0,2,0.222,-40.000,40.000,0.000,65.1112,12.7944,8.9304,66.9546,54.8100,-36.7933,-11.1817,-1.46642,-2.45665,-1.80708,122.277,0,1
0,0,3,0.419,-40.000,40.000,0.000,64.9518,13.6971,8.4419,66.9150,54.6850,-36.8767,-11.2817,-1.62027,-2.62576,-2.03785,123.444,0,1
0,0,4,0.627,-40.000,40.000,0.000,65.2087,13.4876,8.5852,67.1401,54.7267,-37.2350,-11.2400,-1.56532,-2.53907,-1.91941,122.761,0,1
0,0,5,0.837,-40.000,40.000,0.000,64.2501,13.3876,8.9528,66.2379,54.1183,-36.6683,-10.6817,-1.50061,-2.51709,-1.88034,122.686,0,1
0,0,6,1.048,-40.000,40.000,0.000,64.2792,8.0352,2.5352,64.8291,56.3267,-29.5017,-12.6400,-1.65690,-2.61538,-2.02076,123.132,0,1
0,0,7,1.257,-40.000,40.000,0.000,65.3569,10.7971,1.6973,66.2645,58.1850,-30.2350,-9.5567,-1.57998,-2.61294,-2.00122,123.240,0,1
0,0,8,1.47,-40.000,40.000,0.000,66.5358,13.3014,8.0279,68.3255,56.1600,-36.9600,-12.1817,-1.68742,-2.69475,-2.12271,123.728,0,1
0,0,9,1.677,-40.000,40.000,0.000,66.7548,11.3363,3.0863,67.7808,58.4767,-32.3350,-11.3650,-1.74054,-2.74908,-2.20085,124.075,0,1
0,0,10,1.887,-40.000,40.000,0.000,67.6920,10.8564,6.9282,68.9062,57.8517,-35.1683,-12.8233,-1.51465,-2.49206,-1.87057,122.677,0,1
1,0,1,0.005,0.000,40.000,0.000,96.4580,-12.4837,-4.7728,97.3795,88.8100,-21.8350,-33.4483,-1.69231,-2.71368,-2.17033,124.162,0,1
1,0,2,0.21,0.000,40.000,0.000,99.5575,-13.1950,-4.8767,100.5464,91.7683,-22.6100,-34.3067,-1.58486,-2.58974,-2.01465,123.566,0,1
1,0,3,0.42,0.000,40.000,0.000,98.5865,-16.7989,-10.2651,100.5329,92.7017,-16.6517,-35.1567,-1.78694,-2.76129,-2.24176,124.278,0,1
1,0,4,0.63,0.000,40.000,0.000,101.4329,-14.3425,-6.3122,102.6361,93.3267,-23.0267,-35.9733,-1.64164,-2.56044,-1.98291,123.102,0,1
1,0,5,0.827,0.000,40.000,0.000,101.1705,-13.3988,-3.7782,102.1239,92.6017,-23.7933,-35.8900,-1.64591,-2.64957,-2.09463,123.883,0,1
