point,pos_x,pos_y,pos_z,mag_x,mag_y,mag_z
M1,-4,4,10,20.47,-3.77,5.65
M2,0,4,10,20.62,-19.46,-0.89
M3,4,4,10,8.92,-16.96,-13.40
M4,-4,0,10,13.05,-7.91,25.48
M5,0,0,10,9.40,-32.76,18.48
M6,4,0,10,-0.58,-28.42,-6.96
M7,-4,-4,10,-6.99,-0.66,21.99
M8,0,-4,10,-14.10,-21.66,19.91
M9,4,-4,10,-16.21,-19.00,-3.78
M1,-4,4,8,33.68,-10.23,14.70
M2,0,4,8,38.89,-37.51,-3.58
M3,4,4,8,8.25,-19.54,-8.63
M4,-4,0,8,22.21,15.84,37.52
M5,0,0,8,-3.83,-46.18,-16.21
M6,4,0,8,-4.49,-42.56,-4.43
M7,-4,-4,8,-10.42,6.72,35.60
M8,0,-4,8,-31.24,-37.93,43.98
M9,4,-4,8,-24.67,-25.30,-1.42
M1,-4,4,6,56.48,10.55,6.23
M2,0,4,6,84.86,-51.08,-12.55
M3,4,4,6,-0.54,0.00,0.24
M4,-4,0,6,62.64,8.16,95.19
M5,0,0,6,59.50,-58.76,101.05
M6,4,0,6,-7.73,-90.37,-23.90
M7,-4,-4,6,-20.24,23.84,74.53
M8,0,-4,6,-69.09,-60.49,92.38
M9,4,-4,6,-54.70,-45.09,-2.25
M1,-4,4,4,171.08,-11.21,-78.90
M2,0,4,4,17.11,-35.39,-62.40
M3,4,4,4,26.14,-37.26,-72.24
M4,-4,0,4,69.77,33.12,98.56
M5,0,0,4,-60.64,-218.85,90.10
M6,4,0,4,-109.34,-13.85,468.50
M7,-4,-4,4,-179.10,296.35,472.61
M8,0,-4,4,-715.49,-151.38,473.42
M9,4,-4,4,-344.59,-94.12,7.54
