magnet,cell_i,cell_j,sample,t_s,x_mm,y_mm,z_mm,Bx_uT,By_uT,Bz_uT,Babs_uT,Bbx_uT,Bby_uT,Bbz_uT,ax_g,ay_g,az_g,tilt_deg,gain_idx,qmc
m1,0,0,1,0.03,-40.000,40.000,0.000,92.2563,-285.3922,280.7794,410.8491,-45.3200,-49.0933,-405.3800,-1.83089,-2.80098,-2.24847,123.898,4,1
m1,0,0,2,0.253,-40.000,40.000,0.000,95.2864,-283.7281,281.0259,410.5566,-41.6867,-49.8600,-405.3800,-1.80525,-2.77717,-2.24786,124.162,4,1
m1,0,0,3,0.463,-40.000,40.000,0.000,91.2201,-287.8159,279.8515,411.6746,-46.1867,-46.5933,-406.4133,-1.83150,-2.79365,-2.24176,123.865,4,1
m1,0,0,4,0.673,-40.000,40.000,0.000,92.5888,-288.5675,279.5179,412.2792,-43.4867,-46.0933,-407.3800,-1.81685,-2.80037,-2.25214,124.007,4,1
m1,0,0,5,0.883,-40.000,40.000,0.000,89.7762,-286.8330,284.4701,413.8311,-48.8867,-48.0600,-408.1133,-1.82112,-2.78327,-2.25519,124.138,4,1
m1,0,0,6,1.078,-40.000,40.000,0.000,93.0234,-287.3764,282.1828,413.3591,-44.8200,-49.3600,-407.9467,-1.83150,-2.81380,-2.25641,123.904,4,1
m1,0,0,7,1.274,-40.000,40.000,0.000,93.1560,-285.6038,283.9069,413.3409,-43.7200,-50.7267,-407.8800,-1.80525,-2.80830,-2.26557,124.162,4,1
m1,0,0,8,1.483,-40.000,40.000,0.000,96.6224,-284.0400,283.2287,412.5931,-42.8867,-53.0600,-406.9133,-1.82967,-2.79060,-2.24115,123.886,4,1
m1,0,0,9,1.693,-40.000,40.000,0.000,95.4528,-283.6307,286.6862,414.4232,-44.2200,-54.9267,-408.3800,-1.82173,-2.80525,-2.25885,124.032,4,1
m1,0,0,10,1.903,-40.000,40.000,0.000,96.2273,-284.4629,285.7236,414.5079,-43.7200,-54.2267,-408.6133,-1.80708,-2.76984,-2.22711,123.957,4,1
m1,1,0,1,0.018,0.000,40.000,0.000,21.1986,-328.5700,122.7731,351.3985,-36.1867,113.0400,-330.7467,-1.80525,-2.79915,-2.25153,124.058,4,1
m1,1,0,2,0.24,0.000,40.000,0.000,21.3009,-328.4700,120.6626,350.5792,-35.4533,114.7067,-329.3800,-1.82234,-2.80586,-2.26007,124.040,4,1
m1,1,0,3,0.436,0.000,40.000,0.000,18.6593,-330.2904,122.4311,352.7453,-38.4867,115.4733,-331.0800,-1.81746,-2.80586,-2.25946,124.053,4,1
m1,1,0,4,0.659,0.000,40.000,0.000,21.2176,-331.6269,126.5920,355.6011,-38.3200,113.5067,-334.8133,-1.81380,-2.78022,-2.25153,124.147,4,1
m1,1,0,5,0.854,0.000,40.000,0.000,22.6860,-331.9581,125.2140,355.5129,-36.2867,113.4067,-334.9800,-1.82479,-2.80769,-2.26374,124.060,4,1
m1,1,0,6,1.067,0.000,40.000,0.000,23.6625,-331.9114,125.7462,355.7207,-35.8533,113.5067,-335.2133,-1.81685,-2.77900,-2.25153,124.142,4,1
m1,1,0,7,1.274,0.000,40.000,0.000,23.3373,-333.7198,125.2480,357.2123,-35.7867,113.6733,-336.7467,-1.81746,-2.79670,-2.24664,123.963,4,1
m1,1,0,8,1.47,0.000,40.000,0.000,25.1038,-334.9025,125.2168,358.4260,-34.1533,113.8400,-338.1467,-1.81563,-2.79609,-2.24664,123.975,4,1
m1,1,0,9,1.666,0.000,40.000,0.000,24.9885,-334.3962,126.4903,358.3924,-34.8867,114.0067,-337.9800,-1.81380,-2.78144,-2.25275,124.154,4,1
m1,1,0,10,1.889,0.000,40.000,0.000,27.0090,-332.8301,124.0495,356.2214,-32.1867,114.0067,-335.9467,-1.82357,-2.78510,-2.25519,124.115,4,1
m1,2,0,1,0.028,40.000,40.000,0.000,-33.3184,-182.0490,-29.6425,187.4317,-16.3700,146.5567,-115.6883,-1.81990,-2.80403,-2.26068,124.070,0,1
m1,2,0,2,0.223,40.000,40.000,0.000,-32.9136,-182.0128,-28.9559,187.2176,-16.1617,146.2400,-115.7717,-1.82845,-2.78510,-2.25641,124.108,0,1
